"OCCUPATIONTYPE","OCCUPATIONID","RELATIONTYPE","SKILLID","SIGNALLINGVALUELABEL","SIGNALLINGVALUE","CREATEDAT","UPDATEDAT"
"escooccupation","673b3fe26221dab5a11beb92","essential","673b3fd46221dab5a11bb490","","","2024-11-18T13:24:24.338Z","2024-11-18T13:24:24.338Z"
"escooccupation","673b3fe26221dab5a11bebd6","essential","673b3fd46221dab5a11bb490","","","2024-11-18T13:24:24.537Z","2024-11-18T13:24:24.537Z"
"escooccupation","673b3fe26221dab5a11bf49f","essential","673b3fd46221dab5a11bb490","","","2024-11-18T13:25:08.121Z","2024-11-18T13:25:08.121Z"
"escooccupation","673b3fe26221dab5a11bf62b","optional","673b3fd46221dab5a11bb490","","","2024-11-18T13:25:09.439Z","2024-11-18T13:25:09.439Z"
"escooccupation","673b3fe26221dab5a11bf016","essential","673b3fd46221dab5a11bb491","","","2024-11-18T13:24:48.515Z","2024-11-18T13:24:48.515Z"
"escooccupation","673b3fe26221dab5a11beb81","essential","673b3fd46221dab5a11bb492","","","2024-11-18T13:24:24.302Z","2024-11-18T13:24:24.302Z"
"escooccupation","673b3fe26221dab5a11bec08","essential","673b3fd46221dab5a11bb492","","","2024-11-18T13:24:24.678Z","2024-11-18T13:24:24.678Z"
"escooccupation","673b3fe26221dab5a11bec1b","essential","673b3fd46221dab5a11bb492","","","2024-11-18T13:24:24.719Z","2024-11-18T13:24:24.719Z"
"escooccupation","673b3fe26221dab5a11bedad","essential","673b3fd46221dab5a11bb492","","","2024-11-18T13:24:26.300Z","2024-11-18T13:24:26.300Z"
"escooccupation","673b3fe26221dab5a11bedb6","essential","673b3fd46221dab5a11bb492","","","2024-11-18T13:24:26.317Z","2024-11-18T13:24:26.317Z"
"escooccupation","673b3fe26221dab5a11bedbb","essential","673b3fd46221dab5a11bb492","","","2024-11-18T13:24:26.322Z","2024-11-18T13:24:26.322Z"
"escooccupation","673b3fe26221dab5a11bee6e","essential","673b3fd46221dab5a11bb492","","","2024-11-18T13:24:26.757Z","2024-11-18T13:24:26.757Z"
"escooccupation","673b3fe26221dab5a11bee7a","essential","673b3fd46221dab5a11bb492","","","2024-11-18T13:24:26.797Z","2024-11-18T13:24:26.797Z"
"escooccupation","673b3fe26221dab5a11bee80","essential","673b3fd46221dab5a11bb492","","","2024-11-18T13:24:26.803Z","2024-11-18T13:24:26.803Z"
"escooccupation","673b3fe26221dab5a11beff1","essential","673b3fd46221dab5a11bb492","","","2024-11-18T13:24:48.403Z","2024-11-18T13:24:48.403Z"
"escooccupation","673b3fe26221dab5a11beff6","essential","673b3fd46221dab5a11bb492","","","2024-11-18T13:24:48.418Z","2024-11-18T13:24:48.418Z"
"escooccupation","673b3fe26221dab5a11bf064","essential","673b3fd46221dab5a11bb492","","","2024-11-18T13:24:48.698Z","2024-11-18T13:24:48.698Z"
"escooccupation","673b3fe26221dab5a11bf07b","essential","673b3fd46221dab5a11bb492","","","2024-11-18T13:24:48.738Z","2024-11-18T13:24:48.738Z"
"escooccupation","673b3fe26221dab5a11bf144","essential","673b3fd46221dab5a11bb492","","","2024-11-18T13:24:49.299Z","2024-11-18T13:24:49.299Z"
"escooccupation","673b3fe26221dab5a11bf1be","essential","673b3fd46221dab5a11bb492","","","2024-11-18T13:24:49.774Z","2024-11-18T13:24:49.774Z"
"escooccupation","673b3fe26221dab5a11bf1c8","essential","673b3fd46221dab5a11bb492","","","2024-11-18T13:24:49.817Z","2024-11-18T13:24:49.817Z"
"escooccupation","673b3fe26221dab5a11bf1f5","essential","673b3fd46221dab5a11bb492","","","2024-11-18T13:24:50.396Z","2024-11-18T13:24:50.396Z"
"escooccupation","673b3fe26221dab5a11bf223","essential","673b3fd46221dab5a11bb492","","","2024-11-18T13:24:50.513Z","2024-11-18T13:24:50.513Z"
"escooccupation","673b3fe26221dab5a11bf23e","essential","673b3fd46221dab5a11bb492","","","2024-11-18T13:24:50.593Z","2024-11-18T13:24:50.593Z"
"escooccupation","673b3fe26221dab5a11bf2c4","essential","673b3fd46221dab5a11bb492","","","2024-11-18T13:24:50.935Z","2024-11-18T13:24:50.935Z"
"escooccupation","673b3fe26221dab5a11bf2da","essential","673b3fd46221dab5a11bb492","","","2024-11-18T13:24:50.976Z","2024-11-18T13:24:50.976Z"
"escooccupation","673b3fe26221dab5a11bf322","essential","673b3fd46221dab5a11bb492","","","2024-11-18T13:24:51.214Z","2024-11-18T13:24:51.214Z"
"escooccupation","673b3fe26221dab5a11bf37e","essential","673b3fd46221dab5a11bb492","","","2024-11-18T13:24:51.436Z","2024-11-18T13:24:51.436Z"
"escooccupation","673b3fe26221dab5a11bf380","essential","673b3fd46221dab5a11bb492","","","2024-11-18T13:24:51.438Z","2024-11-18T13:24:51.438Z"
"escooccupation","673b3fe26221dab5a11bf3dc","essential","673b3fd46221dab5a11bb492","","","2024-11-18T13:24:51.699Z","2024-11-18T13:24:51.699Z"
"escooccupation","673b3fe26221dab5a11bf436","essential","673b3fd46221dab5a11bb492","","","2024-11-18T13:24:51.941Z","2024-11-18T13:24:51.941Z"
"escooccupation","673b3fe26221dab5a11bf48f","essential","673b3fd46221dab5a11bb492","","","2024-11-18T13:25:08.058Z","2024-11-18T13:25:08.058Z"
"escooccupation","673b3fe26221dab5a11bf4ed","essential","673b3fd46221dab5a11bb492","","","2024-11-18T13:25:08.302Z","2024-11-18T13:25:08.302Z"
"escooccupation","673b3fe26221dab5a11bf528","essential","673b3fd46221dab5a11bb492","","","2024-11-18T13:25:08.814Z","2024-11-18T13:25:08.814Z"
"escooccupation","673b3fe26221dab5a11bf68f","essential","673b3fd46221dab5a11bb492","","","2024-11-18T13:25:09.697Z","2024-11-18T13:25:09.697Z"
"escooccupation","673b3fe26221dab5a11bedef","optional","673b3fd46221dab5a11bb493","","","2024-11-18T13:24:26.460Z","2024-11-18T13:24:26.460Z"
"escooccupation","673b3fe26221dab5a11beee0","optional","673b3fd46221dab5a11bb493","","","2024-11-18T13:24:27.075Z","2024-11-18T13:24:27.075Z"
