"ID","ORIGINURI","UUIDHISTORY","DEFINITION","SCOPENOTE","REUSELEVEL","SKILLTYPE","PREFERREDLABEL","ALTLABELS","DESCRIPTION","ISLOCALIZED","DEGREECENTRALITY","INTEROCCUPATIONTRANSFERABILITY","UNSEENTOSEENTRANSFERABILITY","CREATEDAT","UPDATEDAT"
"673b3fd46221dab5a11bb490","http://data.europa.eu/esco/skill/0005c151-5b5a-4a66-8aac-60e734beb1ab","d13b1ee5-87d7-4ee6-a7f3-21993f8fd563
dc2349de-68d3-4503-b132-faaf49e2d1c4","","","sector-specific","skill/competence","manage musical staff","manage staff of music
coordinate duties of musical staff
manage music staff
direct musical staff
manage musical staff","Assign and manage staff tasks in areas such as scoring, arranging, copying music and vocal coaching.","false","4","0","0","2024-11-18T13:23:34.842Z","2024-11-18T13:25:32.578Z"
"673b3fd46221dab5a11bb491","http://data.europa.eu/esco/skill/00064735-8fad-454b-90c7-ed858cc993f2","f6c49436-635d-4dca-aeec-058431417f00
54dac21e-5339-48d9-a9af-1f517c568a93","","","occupation-specific","skill/competence","supervise correctional procedures","oversee prison procedures
manage correctional procedures
monitor correctional procedures
manage prison procedures
monitor prison procedures
supervise correctional procedures
oversee correctional procedures","Supervise the operations of a correctional facility or other correctional procedures, ensuring that they are compliant with legal regulations, and ensure that the staff complies with regulations, and aim to improve the facility's efficiency and safety.","false","1","0","0","2024-11-18T13:23:34.842Z","2024-11-18T13:25:37.774Z"
"673b3fd46221dab5a11bb492","http://data.europa.eu/esco/skill/000709ed-2be5-4193-b056-45a97698d828","39c2a9e8-691e-4cfb-b151-1f58d65a91e8
111579ba-6e51-4ca0-8fa1-a0c91af5eff7","","","sector-specific","skill/competence","apply anti-oppressive practices","apply non-oppressive practices
apply an anti-oppressive practice
make use of anti-oppressive practices
act in a non-oppressive way
identify oppression in societies and groups
apply anti-oppressive practices
apply anti-oppresive practice
use anti-oppressive practices","Identify oppression in societies, economies, cultures, and groups, acting as a professional in an non-oppressive way, enabling service users to take action to improve their lives and enabling citizens to change their environment in accordance with their own interests.","false","30","0","0","2024-11-18T13:23:34.842Z","2024-11-18T13:25:37.429Z"
"673b3fd46221dab5a11bb493","http://data.europa.eu/esco/skill/0007bdc2-dd15-4824-b7d6-416522c46f35","595313e3-4a9e-4197-b749-5e4e0ca3e893
edd287fc-78b6-4a4b-9eae-62ce7e80b59e","","","sector-specific","skill/competence","control compliance of railway vehicles regulations","monitoring of compliance with railway vehicles regulations
monitoring of compliance with rolling stock regulations
checking compliance with rolling stock regulations
control compliance of regulations of rolling stock
inspection of compliance with rolling stock regulations
ensuring compliance with railway vehicles regulations
compliance controls of railway vehicles regulations
conduct controls of compliance of railway vehicles regulations
control compliance of railway vehicles regulations
control compliance of railway vehicle regulations","Inspect rolling stock, components and systems to ensure compliance with standards and specifications.","false","10","0","0","2024-11-18T13:23:34.842Z","2024-11-18T13:25:23.052Z"
"673b3fd46221dab5a11bb494","http://data.europa.eu/esco/skill/00090cc1-1f27-439e-a4e0-19a87a501bfc","2855e5a5-1474-4272-a31f-5c88e62b24ba
08606fdf-b3c4-4dad-93e6-576e00dc1a4b","","","cross-sector","skill/competence","identify available services","establish available services
identify available services
determine rehabilitation services
analyse rehabilitation services
establish rehabilitation services
determine available services
analyse available services
classify available services
classify rehabilitation services","Identify the different services available for an offender during probation in order to help in the rehabilitation and re-integration process, as well as advising the offenders as to how they can identify services available to them.","false","2","0","0","2024-11-18T13:23:34.842Z","2024-11-18T13:25:28.785Z"
"673b3fd46221dab5a11bb495","http://data.europa.eu/esco/skill/000bb1e4-89f0-4b86-be05-05ece3641724","c61a7af1-4671-4560-82c4-85870b4ef58d
0f8f4cbd-57d5-463a-97b5-b7b03a985830","","","cross-sector","skill/competence","perform toxicological studies","perform toxicological studies
apply toxicological testing methods
perform toxicological tests
perform toxicological study
carry out toxicological studies","Perform tests to detect poisons or drug misuse and help to monitor therapy by using chemical reagents, enzymes, radioisotopes and antibodies to detect abnormal chemical concentrations in the body.","false","7","0","0","2024-11-18T13:23:34.842Z","2024-11-18T13:25:42.144Z"
"673b3fd46221dab5a11bb496","http://data.europa.eu/esco/skill/000c94d2-2a2e-4545-993c-6df8cb5b0316","ffcc904b-1618-45a6-9fcb-9fc898481e78
393f5ec5-9164-4cb8-a0cf-a89f95fad224","","","occupation-specific","skill/competence","ensure coquille uniformity","making sure coquille is uniform
ensure coquille uniformity
ensure uniformity of coquille
ensuring coquille uniformity
checking that coquille is uniform
ensuring uniformity of coquille
ensuring coquille is uniform
ensure coquille is uniform
ensuring of coquille uniformity
make sure coquille is uniform
check that coquille is uniform","Oversee uniformity of coquilles; use casting equipment and tools such as welding machines.","false","1","0","0","2024-11-18T13:23:34.842Z","2024-11-18T13:25:27.952Z"
"673b3fd46221dab5a11bb497","http://data.europa.eu/esco/skill/000f1d3d-220f-4789-9c0a-cc742521fb02","73734418-994b-475f-aa41-5656a90582b7
7236820d-3b34-4339-9093-239d0b8820dc","","","sector-specific","knowledge","Haskell","Haskell","The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Haskell.","false","46","0","0","2024-11-18T13:23:34.842Z","2024-11-18T13:25:28.441Z"
"673b3fd46221dab5a11bb498","http://data.europa.eu/esco/skill/001115fb-569f-4ee6-8381-c6807ef2527f","00aca277-69a8-430d-a74f-dfe61774a801
b980f518-1b34-4f27-b5a5-2a88f1039747","","","transversal","skill/competence","show initiative","take the initiative
give impetus
be a driving force
demonstrate sense of initiative
initiate action
show sense of initiative
show active initiative
show initiative","Be proactive and take the first step in an action without waiting for what others say or do.","false","1","0","0","2024-11-18T13:23:34.843Z","2024-11-18T13:25:42.144Z"
"673b3fd46221dab5a11bb499","http://data.europa.eu/esco/skill/001d46db-035e-4b92-83a3-ed8771e0c123","e7f8f24f-e823-44d4-ad1a-1c55dcfe8235
b59e18a6-e5a7-4970-9048-75552c86f9d1","","","sector-specific","skill/competence","train staff to reduce food waste","teach students food waste reduction practices
inform staff on food waste reduction practices
educate workers on food recycling methods
educate staff on food waste reduction
train staff to reduce food waste","Establish new trainings and staff development provisions to support staff knowledge in food waste prevention and food recycling practices. Ensure that staff understands methods of and tools for food recycling, e.g., separating waste.","false","13","0","0","2024-11-18T13:23:34.843Z","2024-11-18T13:25:28.441Z"
