"OCCUPATIONTYPE","OCCUPATIONID","RELATIONTYPE","SKILLID","SIGNALLINGVALUELABEL","SIGNALLINGVALUE","CREATEDAT","UPDATEDAT"
"escooccupation","68934cb30f3f20b5b2edd924","essential","68934ca60f3f20b5b2ed9e48","","","2025-08-06T12:38:48.506Z","2025-08-06T12:38:48.506Z"
"escooccupation","68934cb30f3f20b5b2edd922","essential","68934ca60f3f20b5b2ed9e48","","","2025-08-06T12:38:48.506Z","2025-08-06T12:38:48.506Z"
"escooccupation","68934cb30f3f20b5b2edd925","essential","68934ca60f3f20b5b2ed9e48","","","2025-08-06T12:38:48.507Z","2025-08-06T12:38:48.507Z"
"escooccupation","68934cb30f3f20b5b2edd923","optional","68934ca60f3f20b5b2ed9e48","","","2025-08-06T12:38:48.507Z","2025-08-06T12:38:48.507Z"
"escooccupation","68934cb20f3f20b5b2edd5b3","essential","68934ca60f3f20b5b2ed9e49","","","2025-08-06T12:38:48.507Z","2025-08-06T12:38:48.507Z"
"escooccupation","68934cb30f3f20b5b2edd8dd","essential","68934ca60f3f20b5b2ed9e4a","","","2025-08-06T12:38:48.507Z","2025-08-06T12:38:48.507Z"
"escooccupation","68934cb30f3f20b5b2edd8eb","essential","68934ca60f3f20b5b2ed9e4a","","","2025-08-06T12:38:48.507Z","2025-08-06T12:38:48.507Z"
"escooccupation","68934cb30f3f20b5b2edd8d3","essential","68934ca60f3f20b5b2ed9e4a","","","2025-08-06T12:38:48.507Z","2025-08-06T12:38:48.507Z"
"escooccupation","68934cb30f3f20b5b2edd776","essential","68934ca60f3f20b5b2ed9e4a","","","2025-08-06T12:38:48.507Z","2025-08-06T12:38:48.507Z"
"escooccupation","68934cb30f3f20b5b2edd8be","essential","68934ca60f3f20b5b2ed9e4a","","","2025-08-06T12:38:48.507Z","2025-08-06T12:38:48.507Z"
"escooccupation","68934cb30f3f20b5b2edd8d7","essential","68934ca60f3f20b5b2ed9e4a","","","2025-08-06T12:38:48.507Z","2025-08-06T12:38:48.507Z"
"escooccupation","68934cb30f3f20b5b2edd8d1","essential","68934ca60f3f20b5b2ed9e4a","","","2025-08-06T12:38:48.507Z","2025-08-06T12:38:48.507Z"
"escooccupation","68934cb30f3f20b5b2edd8e4","essential","68934ca60f3f20b5b2ed9e4a","","","2025-08-06T12:38:48.507Z","2025-08-06T12:38:48.507Z"
"escooccupation","68934cb30f3f20b5b2edd8d2","essential","68934ca60f3f20b5b2ed9e4a","","","2025-08-06T12:38:48.507Z","2025-08-06T12:38:48.507Z"
"escooccupation","68934cb30f3f20b5b2edd8e7","essential","68934ca60f3f20b5b2ed9e4a","","","2025-08-06T12:38:48.507Z","2025-08-06T12:38:48.507Z"
"escooccupation","68934cb30f3f20b5b2edd8d8","essential","68934ca60f3f20b5b2ed9e4a","","","2025-08-06T12:38:48.507Z","2025-08-06T12:38:48.507Z"
"escooccupation","68934cb30f3f20b5b2edd8d9","essential","68934ca60f3f20b5b2ed9e4a","","","2025-08-06T12:38:48.507Z","2025-08-06T12:38:48.507Z"
"escooccupation","68934cb30f3f20b5b2edd8ed","essential","68934ca60f3f20b5b2ed9e4a","","","2025-08-06T12:38:48.507Z","2025-08-06T12:38:48.507Z"
"escooccupation","68934cb30f3f20b5b2edd8e8","essential","68934ca60f3f20b5b2ed9e4a","","","2025-08-06T12:38:48.507Z","2025-08-06T12:38:48.507Z"
"escooccupation","68934cb30f3f20b5b2edd8e3","essential","68934ca60f3f20b5b2ed9e4a","","","2025-08-06T12:38:48.507Z","2025-08-06T12:38:48.507Z"
"escooccupation","68934cb20f3f20b5b2edd769","essential","68934ca60f3f20b5b2ed9e4a","","","2025-08-06T12:38:48.507Z","2025-08-06T12:38:48.507Z"
"escooccupation","68934cb30f3f20b5b2edd8d6","essential","68934ca60f3f20b5b2ed9e4a","","","2025-08-06T12:38:48.507Z","2025-08-06T12:38:48.507Z"
"escooccupation","68934cb30f3f20b5b2edd8dc","essential","68934ca60f3f20b5b2ed9e4a","","","2025-08-06T12:38:48.507Z","2025-08-06T12:38:48.507Z"
"escooccupation","68934cb30f3f20b5b2edd8ec","essential","68934ca60f3f20b5b2ed9e4a","","","2025-08-06T12:38:48.507Z","2025-08-06T12:38:48.507Z"
